"_id","project_name","beneficiary_name","total_amount","eu_cofinancing_amount","total_amount_eligible","eu_cofinancing_amount_eligible","amount","amount_kind","approval_date","beneficiary_address","beneficiary_city","beneficiary_country","beneficiary_country_code","beneficiary_county","beneficiary_id","beneficiary_nuts_code","beneficiary_nuts_region","beneficiary_person","beneficiary_postal_code","beneficiary_url","cci_program_code","completion_date","currency","eu_cofinancing_rate","final_payment_date","first_payment_date","fund_acronym","funding_period","management_authority","member_state_amount","operational_programme","priority_label","priority_number","project_description","project_status","source","starting_date","theme_code","theme_name","third_party_amount","total_amount_applied"
9383,Rozbudowa Karczmy Czarna Góra w Siennej,Czarna Góra Spółka Akcyjna,9643750.76,2665085.8,,,668475.0565178458,eu_cofinancing_amount,,"","",POLSKA,PL,"",Czarna gora sa,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9384,Adaptacja byłego kina „Orzeł” na potrzeby Centrum Integracji Kulturalnej,Gmina Miejska Bolesławiec,5416048.32,2664626.1,,,668359.7514182947,eu_cofinancing_amount,,"","",POLSKA,PL,"",Boleslawiec gmina miejska,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9385,Budowa strażnicy Lotniskowej Służby Ratowniczo-Gaśniczej,Województwo Lubuskie,3135192.3,2664599.8,,,668353.1546723339,eu_cofinancing_amount,,"","",POLSKA,PL,"",Lubuskie wojewodztwo,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9386,Budowa i przebudowa dróg w miejscowości Konstantynów,Gmina Konstantynów,5328746.24,2664373.09,,,668296.2897188441,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina konstantynow,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9387,Application of ecosystem principles for the location and management of offshore dumping sites in SE Baltic Region - ECODUMP,Coastal Research and Planning Institute of the Klaipeda University (CORPI),3413243.34,2663798.97,,,668152.2850119608,eu_cofinancing_amount,,"","",POLSKA,PL,"",And coastal institute klaipeda of planning research the university,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9388,"""Zielona Góra miastem równego dostępu do Internetu""",Miasto Zielona Góra,3164381.66,2663174.58,,,667995.671239699,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gora miasto zielona,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9389,Zabezpieczenie prawego brzegu rzeki Białej Lądeckiej w km 24+250 – 25+130 w miejscowości Lądek Zdrój,Regionalny Zarząd Gospodarki Wodnej we Wrocławiu,3312247.17,2662885.73,,,667923.219906209,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gospodarki regionalny we wodnej wroclawiu zarzad,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9390,"""Przebudowa,nadbudowa i rozbudowa pawilonu C Szpitala Uzdrowiskowego Krystyna""",Uzdrowisko Busko-Zdrój Spółka Akcyjna,11497912.63,2662856.19,,,667915.8104812781,eu_cofinancing_amount,,"","",POLSKA,PL,"",Busko sa uzdrowisko zdroj,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9391,Wdrożenie innowacyjnej technologii uszlachetniania szkła dwustronnie teksturowanego pod kątem zastosowań w fotowoltaice,BK Glass Spółka z ograniczoną odpowiedzialnością,4475000.0,2662625.0,,,667857.8218235335,eu_cofinancing_amount,,"","",POLSKA,PL,"",Bk glass odpowiedzialnoscia ograniczona spolka z,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9392,"Budowa drogi gminnej nr 101262L ""Skośna"" Polubiczej Wiejskie II - Polubicze Dworskie, Gmina Wisznice",Gmina Wisznice,3134399.2,2661735.03,,,667634.5934584095,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina wisznice,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9393,Wdrożenie rozwiązań wykorzystujących odnawialne źródła energii oraz kogenerację w Szpitalu Kolejowym w Pruszkowie metodą na zwiększenie efektywności jego funkcjonowania,SZPITAL KOLEJOWY IM. DR MED. WŁODZIMIERZA ROEFLERA W PRUSZKOWIE SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ,4127519.12,2661659.95,,,667615.7613790658,eu_cofinancing_amount,,"","",POLSKA,PL,"",Dr im kolejowy med opieki pruszkowie publiczny roeflera samodzielny szpital w wlodzimierza zaklad zdrowotnej,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9394,"""Wykonanie infrastruktury turystycznej w otoczce zbiornika wodnego »Nielisz«”",Gmina Nielisz,4040489.43,2661554.13,,,667589.21888258,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina nielisz,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9395,Poprawa jakości wody pitnej poprzez wykonanie modernizacji sieci wodociagowej na terenie Gminy Świlcza,Gmina Świlcza,3802329.32,2661382.31,,,667546.1218144816,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina swilcza,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9396,„Owoce biznesu” – dobra oferta krokiem do sukcesu,Fundacja Obserwatorium Zarządzania,3510569.22,2661350.47,,,667538.1354878127,eu_cofinancing_amount,,"","",POLSKA,PL,"",Fundacja obserwatorium zarzadzania,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9397,Internet w Twoim zasięgu - Przeciwdziałanie wykluczeniu cyfrowemu w gminie Turośń Kościelna w województwie podlaskim,Gmina Turośń Kościelna,3148125.62,2661022.82,,,667455.9520728291,eu_cofinancing_amount,,"","",POLSKA,PL,"",Gmina koscielna turosn,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
9398,Wdrożenie innowacyjnej technologii obróbki wstęg papierów makulaturowych niskogramaturowych,Inpol-Papier Sp. z o.o.,7946295.2,2660100.63,,,667224.642066836,eu_cofinancing_amount,,"","",POLSKA,PL,"",Inpol oo papier sp z,PL,POLSKA,"","","","",,PLN,"",,,ERDF,"2007-2013","",,"","","","","","",,"","",,
